b0001	51
b0002	53
b0003	56
b0004	52
b0005	53
b0006	49
b0007	53
b0008	51
b0009	54
b0010	53
b0011	50
b0013	48
b0014	51
b0015	55
b0016	51
b0018	51
b4412	52
b4413	47
b0019	51
b0020	47
b0021	54
b0022	52
b0023	46
b0024	48
b0025	53
b0026	55
b0027	53
b0028	54
b0029	55
b0030	56
b0031	53
b0032	53
b0033	56
b0034	45
b0035	54
b0036	52
b0037	50
b0038	52
b0039	53
b0040	51
b0041	52
b0042	56
b0043	54
b0044	56
b0045	53
b0046	54
b0047	55
b0048	52
b0049	55
b0050	51
b0051	53
b0052	56
b0053	53
b0054	51
b0055	52
b4659	42
b0058	53
b0059	54
b0060	55
b0061	55
b0062	55
b0063	58
b0064	52
b0065	53
b0066	57
b0067	58
b0068	53
b0069	54
b4577	47
b0070	48
b0071	51
b0072	55
b0073	55
b0074	52
b0075	47
b0076	45
b0077	52
b0078	50
b0080	54
b0081	52
b0082	55
b0083	50
b0084	53
b0085	56
b0086	55
b0087	53
b0088	54
b0089	53
b0090	56
b0091	54
b0092	51
b0093	53
b0094	52
b0095	54
b0096	51
b0097	53
b0098	52
b0099	49
b0101	51
b0102	51
b0103	52
b0104	51
b0106	51
b0107	53
b0108	53
b0109	53
b0110	53
b0111	52
b0112	52
b0113	55
b0114	53
b0115	54
b0116	53
b0117	53
b0118	55
b0119	52
b0120	46
b0121	50
b0122	50
b0123	54
b0124	55
b0125	50
b0126	50
b0127	49
b0128	50
b0129	49
b0130	49
b0131	52
b0132	48
b0133	52
b0134	54
b0135	40
b0136	41
b0137	42
b0138	42
b0139	43
b0140	44
b0141	44
b0142	50
b0143	55
b0144	54
b0145	52
b0146	49
b0147	55
b0148	56
b0149	55
b0150	51
b0151	56
b0152	54
b0153	59
b0154	55
b0155	53
b0156	50
b0157	53
b0158	52
b0159	52
b0160	47
b0161	53
b0162	52
b0163	44
b0164	51
b0166	53
b0167	53
b0168	50
b4414	50
b0169	51
b0170	49
b0171	52
b0172	50
b0173	52
b0174	50
b0175	50
b0176	50
b0177	50
b0178	50
b0179	52
b0180	50
b0181	53
b0182	53
b0183	57
b0184	54
b0185	52
b0186	50
b0187	50
b0188	58
b0189	47
b4406	50
b0190	52
b0191	54
b0192	52
b0193	49
b0194	54
b0195	55
b0196	53
b0197	49
b0198	52
b0199	52
b0200	50
b0201	54
b0202	57
b0203	63
b0204	53
b0205	64
b0206	63
b0207	46
b0208	49
b0209	52
b0210	49
b0211	51
b0212	40
b0213	49
b0214	50
b0215	50
b0216	63
b0217	42
b4586	30
b0218	38
b4503	47
b0219	54
b0220	50
b0221	56
b0222	50
b0223	53
b0224	48
b0225	39
b0226	46
b0227	52
b0228	44
b0229	58
b0230	52
b0231	54
b0232	42
b0233	43
b0234	43
b0235	51
b0236	54
b0237	51
b0238	51
b0239	53
b0240	50
b0241	44
b0242	56
b0243	54
b0244	51
b4626	33
b0245	51
b0246	56
b4504	55
b0247	58
b0248	55
b0249	58
b0250	52
b0251	50
b4627	54
b4628	58
b0252	57
b0253	56
b0254	47
b4587	51
b0256	45
b0258	54
b0259	54
b0260	54
b0261	60
b0262	56
b0263	56
b0264	55
b0265	53
b4505	45
b0266	50
b0267	62
b0268	61
b0269	66
b0270	62
b0271	64
b0272	63
b0273	58
b0274	55
b0275	53
b0276	48
b0277	44
b0278	37
b0279	36
b0280	43
b0281	44
b4629	51
b0282	52
b0283	59
b0284	59
b0285	60
b0286	54
b0287	45
b0288	50
b0289	53
b0290	51
b0291	55
b0292	54
b0293	52
b0294	39
b0295	43
b4506	41
b0296	45
b4630	38
b0297	48
b0298	50
b0299	55
b0300	42
b4631	35
b0301	44
b0303	35
b0304	45
b0305	51
b0306	50
b0307	50
b0308	52
b0310	36
b0311	57
b0312	58
b0313	56
b0314	55
b0315	45
b0316	49
b0317	52
b0318	45
b0319	47
b0320	55
b0321	58
b0323	56
b0324	56
b0325	53
b0326	38
b0327	46
b0328	49
b0329	38
b0330	55
b0331	56
b0333	55
b0334	56
b0335	58
b0336	53
b0337	53
b0338	55
b0339	57
b0340	50
b0341	58
b0342	42
b0343	46
b0344	56
b0345	56
b0346	55
b0347	56
b0348	57
b0349	54
b0350	55
b0351	54
b0352	56
b0353	57
b0354	48
b0355	48
b0356	53
b0357	53
b0358	50
b4579	45
b0360	53
b0361	55
b0363	49
b0364	43
b0365	56
b0366	55
b0367	57
b0368	54
b0369	53
b4580	45
b0372	55
b0373	50
b0375	40
b0376	55
b0377	51
b0378	53
b0379	52
b0380	48
b0381	51
b0382	46
b0383	53
b0384	47
b0385	53
b0386	54
b0387	56
b0388	52
b0389	48
b0390	46
b0391	51
b0392	48
b0393	51
b0394	55
b0396	50
b0397	53
b0398	53
b0399	54
b0400	53
b0401	55
b0402	52
b0403	54
b0404	53
b0405	54
b0406	51
b0407	49
b0408	53
b0409	51
b0410	47
b0411	50
b0412	47
b0413	51
b0414	55
b0415	52
b0416	53
b0417	54
b0418	53
b0419	53
b0420	54
b0421	54
b0422	55
b0423	52
b0424	56
b0425	51
b0426	50
b0427	52
b0428	53
b0429	49
b0430	53
b0431	52
b0432	50
b0433	53
b0434	51
b0435	48
b0436	51
b0437	51
b0438	51
b0439	52
b0440	49
b0441	52
b0442	54
b0443	46
b0444	51
b0445	52
b0446	51
b0447	51
b0448	54
b0449	56
b0450	50
b0451	56
b0452	52
b0453	53
b0454	54
b0455	64
b0456	49
b0457	48
b0458	47
b0459	48
b0460	40
b0461	40
b0462	53
b0463	53
b0464	45
b0465	51
b0466	48
b0467	58
b0468	52
b0469	54
b0470	57
b0471	52
b0472	57
b0473	52
b0474	51
b0475	53
b0476	52
b0477	51
b0478	55
b0479	52
b0480	50
b0481	50
b4585	37
b0482	54
b0483	44
b0484	58
b0485	53
b0486	53
b0487	58
b0488	57
b0489	52
b0490	45
b0491	46
b0492	55
b0493	54
b0494	52
b0495	56
b0496	57
b0497	60
b0498	30
b0499	44
b0500	32
b4632	63
b0502	48
b0503	55
b0504	52
b0505	51
b0506	52
b0507	52
b0508	44
b0509	50
b0511	47
b0512	51
b0513	51
b0514	55
b0515	46
b0516	51
b0517	52
b0518	55
b4572	57
b0520	56
b0521	56
b0522	56
b0523	59
b0524	54
b0525	47
b0526	54
b0527	53
b0528	54
b0529	54
b0530	44
b0531	42
b0532	47
b0533	45
b0534	50
b0535	36
b0536	61
b0537	46
b4633	53
b0539	50
b4508	51
b0542	50
b0540	50
b0541	55
b0543	41
b0544	35
b0545	42
b0546	36
b4588	49
b0547	50
b0548	48
b0549	53
b0550	53
b4509	47
b0551	42
b0553	44
b0552	54
b0554	47
b0555	47
b0556	51
b4510	56
b0557	41
b0558	31
b0559	39
b4589	43
b0560	52
b4634	53
b0561	48
b0562	41
b0563	46
b0564	31
b0565	43
b4635	64
b0566	46
b0567	52
b0568	55
b0569	52
b0570	52
b0571	53
b0572	51
b0573	45
b0574	55
b0575	55
b0576	52
b0577	47
b0578	51
b0579	47
b0580	50
b0581	51
b4415	47
b0582	51
b0583	47
b0584	54
b0585	55
b4511	55
b0586	56
b0587	44
b0588	53
b0589	58
b0590	60
b0591	58
b0592	55
b0593	56
b0594	56
b0595	55
b0596	57
b0597	56
b0598	57
b4512	52
b0599	55
b0600	53
b0601	46
b0602	47
b0603	38
b0604	46
b0605	50
b0606	53
b0607	49
b0608	50
b0610	54
b0611	51
b0612	50
b0613	54
b0614	58
b0615	56
b0616	57
b0617	55
b0618	50
b0619	50
b0620	50
b0621	50
b0622	46
b0623	43
b0624	48
b4581	54
b0627	50
b0628	53
b0629	44
b0630	47
b0631	46
b0632	49
b0633	57
b0634	52
b0635	52
b0636	58
b0637	51
b0638	51
b0639	50
b0640	52
b0641	52
b0642	53
b0643	52
b0644	47
b0645	45
b0646	47
b0647	42
b0648	47
b0649	47
b0650	50
b0651	50
b0652	52
b0653	50
b0654	52
b0655	48
b0656	54
b0657	55
b0658	51
b0659	51
b0660	54
b0661	54
b0662	57
b0664	58
b0665	58
